importance_rank,encoded_feature,source_feature,feature_group,availability,audit_result,reason
34,t_smgs,t_smgs,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
35,smg_diff_ct,smg_diff_ct,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
36,first_kill_advantage_ct,first_kill_advantage_ct,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
37,first_kill_time,first_kill_time,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
38,first_kill_headshot,first_kill_headshot,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
39,map_name_de_ancient,map_name,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
40,map_name_de_dust2,map_name,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
41,map_name_de_inferno,map_name,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
42,map_name_de_mirage,map_name,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
43,map_name_de_nuke,map_name,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
44,map_name_de_overpass,map_name,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
45,map_name_de_train,map_name,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
46,map_name_de_vertigo,map_name,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
47,first_kill_weapon_AK-47,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
48,first_kill_weapon_AUG,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
49,first_kill_weapon_AWP,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
50,first_kill_weapon_CZ75 Auto,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
51,first_kill_weapon_Desert Eagle,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
52,first_kill_weapon_Dual Berettas,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
53,first_kill_weapon_FAMAS,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
54,first_kill_weapon_Five-SeveN,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
55,first_kill_weapon_G3SG1,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
56,first_kill_weapon_Galil AR,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
57,first_kill_weapon_Glock-18,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
58,first_kill_weapon_HE Grenade,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
59,first_kill_weapon_Incendiary Grenade,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
60,first_kill_weapon_Knife,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
61,first_kill_weapon_M4A1,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
62,first_kill_weapon_M4A4,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
63,first_kill_weapon_MAC-10,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
64,first_kill_weapon_MAG-7,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
65,first_kill_weapon_MP5-SD,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
66,first_kill_weapon_MP7,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
67,first_kill_weapon_MP9,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
68,first_kill_weapon_Molotov,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
69,first_kill_weapon_Negev,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
70,first_kill_weapon_Nova,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
71,first_kill_weapon_P2000,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
72,first_kill_weapon_P250,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
73,first_kill_weapon_P90,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
74,first_kill_weapon_PP-Bizon,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
75,first_kill_weapon_SCAR-20,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
76,first_kill_weapon_SG 553,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
77,first_kill_weapon_SSG 08,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
78,first_kill_weapon_Tec-9,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
79,first_kill_weapon_UMP-45,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
80,first_kill_weapon_USP-S,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
81,first_kill_weapon_XM1014,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
82,first_kill_weapon_Zeus x27,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event
